matchId,homeTeam,awayTeam,score
1,Grand Echiquier 2,Monthey 1,1-5
2,Sion 2,Crans-Montana 2,2-4
3,Valais 2,Bulle 3,5-1
4,Crazy Horse 1,Payerne 2,3½-2½
