matchId,homeTeam,awayTeam,score
1,Fribourg 1,Sion 1,5½-2½
2,Köniz-Bubenberg 1,Neuchâtel 1,4-4
3,Valais 1,Genève 2,2½-5½
4,Grand Echiquier 1,Echallens 2,5-3
