matchId,homeTeam,awayTeam,score
1,Crans-Montana 2,Crazy Horse 1,½-5½
2,Bulle 3,Sion 2,2-4
3,Grand Echiquier 2,Valais 2,3½-2½
4,Monthey 1,Payerne 2,5-1
