rank,team,matchPoints,gamePoints
1,Crazy Horse 1,7,17
2,Monthey 1,6,17½
3,Grand Echiquier 2,5,12
4,Payerne 2,4,15½
5,Valais 2,4,13½
6,Sion 2,4,11
7,Crans-Montana 2,2,5½
8,Bulle 3,0,4
