rank,team,matchPoints,gamePoints
1,Fribourg 1,4,11½
,Grand Echiquier 1,4,11½
3,Genève 2,4,11
4,Echallens 2,2,7½
5,Neuchâtel 1,1,6½
6,Köniz-Bubenberg 1,1,6
7,Valais 1,0,6
8,Sion 1,0,4
