rank,team,matchPoints,gamePoints
1,Grand Echiquier 1,6,17
2,Fribourg 1,4,14
,Genève 2,4,14
4,Echallens 2,4,12½
5,Köniz-Bubenberg 1,3,11
,Neuchâtel 1,3,11
7,Valais 1,0,9½
8,Sion 1,0,7
