matchId,homeTeam,awayTeam,score
1,Neuchâtel 1,Valais 1,4½-3½
2,Sion 1,Köniz-Bubenberg 1,3-5
3,Echallens 2,Genève 2,5-3
4,Fribourg 1,Grand Echiquier 1,2½-5½
