rank,team,matchPoints,gamePoints
1,Crazy Horse 1,6,14
2,Monthey 1,4,12½
3,Valais 2,4,11
4,Grand Echiquier 2,4,9
5,Payerne 2,2,9½
6,Sion 2,2,7½
7,Crans-Montana 2,2,4½
8,Bulle 3,0,4
