matchId,homeTeam,awayTeam,score
1,Sion 2,Grand Echiquier 2,1½-4½
2,Payerne 2,Crans-Montana 2,6-0
3,Valais 2,Monthey 1,3½-2½
4,Crazy Horse 1,Bulle 3,5-1
