matchId,homeTeam,awayTeam,score
1,Valais 1,Köniz-Bubenberg 1,3-5
2,Echallens 2,Fribourg 1,5-3
3,Genève 2,Grand Echiquier 1,4½-3½
4,Sion 1,Neuchâtel 1,3½-4½
