rank,team,matchPoints,gamePoints
1,Monthey 1,4,10
2,Crazy Horse 1,4,9
3,Valais 2,2,7½
4,Sion 2,2,6
5,Crans-Montana 2,2,4½
,Grand Echiquier 2,2,4½
7,Payerne 2,0,3½
8,Bulle 3,0,3
