rank,team,matchPoints,gamePoints
1,Monthey 1,2,5
,Valais 2,2,5
3,Crans-Montana 2,2,4
4,Crazy Horse 1,2,3½
5,Payerne 2,0,2½
6,Sion 2,0,2
7,Bulle 3,0,1
,Grand Echiquier 2,0,1
