matchId,homeTeam,awayTeam,score
1,Genève 2,Neuchâtel 1,5½-2½
2,Valais 1,Echallens 2,3½-4½
3,Sion 1,Grand Echiquier 1,1½-6½
4,Köniz-Bubenberg 1,Fribourg 1,2-6
