rank,team,matchPoints,gamePoints
1,Grand Echiquier 1,2,6½
2,Fribourg 1,2,6
3,Genève 2,2,5½
4,Echallens 2,2,4½
5,Valais 1,0,3½
6,Neuchâtel 1,0,2½
7,Köniz-Bubenberg 1,0,2
8,Sion 1,0,1½
